r_norm,g_norm,b_norm,hue,saturation,value,fruit
0.45,0.29,0.26,0.03,0.43,0.05,Apple
0.48,0.26,0.26,0.00,0.46,0.05,Apple
0.46,0.28,0.26,0.02,0.44,0.07,Apple
0.50,0.27,0.23,0.02,0.54,0.05,Apple
0.43,0.29,0.29,0.00,0.33,0.04,Apple
0.48,0.28,0.24,0.03,0.50,0.05,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.44,0.28,0.28,0.00,0.36,0.04,Apple
0.47,0.28,0.25,0.02,0.47,0.06,Apple
0.44,0.29,0.26,0.03,0.40,0.06,Apple
0.46,0.29,0.25,0.03,0.46,0.05,Apple
0.48,0.28,0.24,0.03,0.50,0.05,Apple
0.50,0.25,0.25,0.00,0.50,0.06,Apple
0.46,0.27,0.27,0.00,0.42,0.05,Apple
0.50,0.27,0.23,0.02,0.53,0.06,Apple
0.46,0.27,0.27,0.00,0.42,0.05,Apple
0.49,0.26,0.26,0.00,0.48,0.08,Apple
0.51,0.24,0.24,0.00,0.52,0.08,Apple
0.46,0.27,0.27,0.00,0.42,0.05,Apple
0.48,0.28,0.24,0.02,0.50,0.05,Apple
0.46,0.29,0.25,0.03,0.45,0.04,Apple
0.45,0.28,0.28,0.00,0.38,0.05,Apple
0.49,0.27,0.24,0.02,0.50,0.08,Apple
0.50,0.25,0.25,0.00,0.50,0.07,Apple
0.48,0.28,0.24,0.02,0.50,0.05,Apple
0.44,0.28,0.28,0.00,0.36,0.04,Apple
0.46,0.29,0.25,0.03,0.46,0.05,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.47,0.28,0.25,0.02,0.47,0.06,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.44,0.30,0.26,0.03,0.42,0.05,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.49,0.26,0.26,0.00,0.47,0.07,Apple
0.43,0.29,0.29,0.00,0.33,0.05,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.46,0.29,0.25,0.03,0.46,0.05,Apple
0.48,0.26,0.26,0.00,0.46,0.05,Apple
0.46,0.28,0.26,0.02,0.44,0.07,Apple
0.50,0.25,0.25,0.00,0.50,0.07,Apple
0.47,0.28,0.25,0.02,0.47,0.07,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.49,0.27,0.24,0.02,0.50,0.09,Apple
0.49,0.27,0.24,0.02,0.50,0.09,Apple
0.46,0.29,0.25,0.03,0.46,0.05,Apple
0.50,0.26,0.24,0.02,0.53,0.07,Apple
0.48,0.28,0.24,0.03,0.50,0.05,Apple
0.48,0.28,0.24,0.02,0.50,0.05,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.46,0.29,0.25,0.03,0.46,0.05,Apple
0.50,0.25,0.25,0.00,0.50,0.08,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.49,0.27,0.24,0.02,0.50,0.09,Apple
0.51,0.26,0.23,0.01,0.54,0.09,Apple
0.52,0.24,0.24,0.00,0.55,0.09,Apple
0.48,0.27,0.24,0.02,0.50,0.06,Apple
0.46,0.29,0.25,0.03,0.46,0.05,Apple
0.50,0.26,0.24,0.02,0.53,0.07,Apple
0.49,0.26,0.26,0.00,0.47,0.07,Apple
0.47,0.28,0.25,0.02,0.47,0.06,Apple
0.43,0.30,0.26,0.04,0.40,0.04,Apple
0.42,0.31,0.27,0.04,0.36,0.04,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.44,0.30,0.26,0.03,0.42,0.05,Apple
0.46,0.28,0.26,0.02,0.44,0.07,Apple
0.46,0.27,0.27,0.00,0.41,0.09,Apple
0.52,0.26,0.23,0.02,0.56,0.06,Apple
0.50,0.26,0.24,0.02,0.53,0.07,Apple
0.46,0.29,0.25,0.03,0.46,0.05,Apple
0.48,0.26,0.26,0.00,0.47,0.06,Apple
0.43,0.29,0.29,0.00,0.33,0.05,Apple
0.47,0.27,0.27,0.00,0.43,0.05,Apple
0.44,0.28,0.28,0.00,0.36,0.04,Apple
0.47,0.27,0.27,0.00,0.43,0.05,Apple
0.50,0.25,0.25,0.00,0.50,0.05,Apple
0.45,0.30,0.25,0.04,0.44,0.04,Apple
0.47,0.29,0.24,0.04,0.50,0.03,Apple
0.48,0.28,0.24,0.03,0.50,0.05,Apple
0.44,0.30,0.26,0.03,0.42,0.05,Apple
0.47,0.26,0.26,0.00,0.44,0.06,Apple
0.52,0.24,0.24,0.00,0.54,0.09,Apple
0.47,0.26,0.26,0.00,0.44,0.07,Apple
0.46,0.29,0.26,0.02,0.44,0.06,Apple
0.49,0.24,0.27,0.98,0.50,0.09,Apple
0.54,0.21,0.25,0.98,0.62,0.05,Apple
0.50,0.25,0.25,0.00,0.50,0.07,Apple
0.45,0.28,0.28,0.00,0.38,0.05,Apple
0.47,0.26,0.26,0.00,0.44,0.06,Apple
0.49,0.27,0.24,0.02,0.50,0.07,Apple
0.47,0.26,0.26,0.00,0.44,0.06,Apple
0.47,0.26,0.26,0.00,0.44,0.06,Apple
0.48,0.27,0.24,0.02,0.50,0.06,Apple
0.50,0.26,0.24,0.02,0.53,0.07,Apple
0.45,0.29,0.26,0.03,0.43,0.05,Apple
0.47,0.28,0.25,0.02,0.47,0.06,Apple
0.47,0.28,0.25,0.02,0.47,0.06,Apple
0.48,0.28,0.24,0.02,0.50,0.05,Apple
0.46,0.29,0.25,0.03,0.45,0.04,Apple
0.47,0.26,0.26,0.00,0.44,0.04,Apple
0.46,0.27,0.27,0.00,0.42,0.05,Apple
0.60,0.21,0.19,0.01,0.69,0.14,Orange
0.60,0.21,0.19,0.01,0.68,0.13,Orange
0.59,0.21,0.21,0.00,0.65,0.15,Orange
0.59,0.21,0.21,0.00,0.65,0.13,Orange
0.58,0.21,0.21,0.00,0.65,0.12,Orange
0.60,0.21,0.19,0.01,0.68,0.11,Orange
0.58,0.22,0.20,0.01,0.66,0.15,Orange
0.59,0.22,0.19,0.01,0.68,0.15,Orange
0.58,0.22,0.20,0.01,0.66,0.11,Orange
0.60,0.21,0.19,0.01,0.69,0.13,Orange
